Method,Average Execution Time,Total Execution Time,Average Memory Usage,Total Memory Usage
shuffle_MEAN,3.989316888000002,99.73292220000005,806.40671875,20160.16796875
shuffle_MEAN,3.989316888000002,99.73292220000005,806.40671875,20160.16796875
shuffle_MEAN,6.474527800000001,161.86319500000002,889.36046875,22234.01171875
shuffle_MEANSTD,3.986841832,99.6710458,808.01125,20200.28125
shuffle_MEANSTD,3.986841832,99.6710458,808.01125,20200.28125
shuffle_INV,3.939932619999995,98.49831549999988,829.77375,20744.34375
shuffle_MEANSTD,3.986841832,99.6710458,808.01125,20200.28125
shuffle_INV,3.939932619999995,98.49831549999988,829.77375,20744.34375
shuffle_PEN,3.932438524000008,98.31096310000021,838.26671875,20956.66796875
shuffle_MEANSTD,4.0249823599999965,100.62455899999992,806.02484375,20150.62109375
shuffle_MEANSTD,4.0249823599999965,100.62455899999992,806.02484375,20150.62109375
shuffle_INV,4.005367456000004,100.13418640000009,821.44421875,20536.10546875
shuffle_MEANSTD,4.0249823599999965,100.62455899999992,806.02484375,20150.62109375
shuffle_INV,4.005367456000004,100.13418640000009,821.44421875,20536.10546875
shuffle_PEN,4.007523079999996,100.18807699999991,837.57484375,20939.37109375
ablation_MEAN,6.369394119999996,159.2348529999999,813.04984375,20326.24609375
ablation_MEAN,6.343330631999997,158.58326579999994,820.18421875,20504.60546875
ablation_MEAN,6.343330631999997,158.58326579999994,820.18421875,20504.60546875
ablation_MEAN,6.335868028000005,158.3967007000001,821.606875,20540.171875
ablation_MEAN,6.335868028000005,158.3967007000001,821.606875,20540.171875
ablation_MEANSTD,6.329808215999996,158.24520539999992,817.013125,20425.328125
ablation_MEANSTD,6.376775836000002,159.41939590000004,818.06921875,20451.73046875
ablation_MEANSTD,6.376775836000002,159.41939590000004,818.06921875,20451.73046875
ablation_INV,6.350753376,158.7688344,833.34921875,20833.73046875
ablation_MEANSTD,6.315273611999999,157.88184029999996,826.215,20655.375
ablation_MEANSTD,6.315273611999999,157.88184029999996,826.215,20655.375
ablation_INV,6.304773252000005,157.6193313000001,844.7484375,21118.7109375
ablation_MEANSTD,6.315273611999999,157.88184029999996,826.215,20655.375
ablation_INV,6.304773252000005,157.6193313000001,844.7484375,21118.7109375
ablation_PEN,6.327340943999993,158.18352359999983,853.5321875,21338.3046875
deeplift_zero_MEAN,5.278723024000002,131.96807560000005,812.95796875,20323.94921875
deeplift_zero_MEAN,5.278723024000002,131.96807560000005,812.95796875,20323.94921875
deeplift_zero_MEANSTD,4.891113044000001,122.27782610000003,827.2596875,20681.4921875
deeplift_zero_MEAN,5.261059795999994,131.52649489999985,813.8875,20347.1875
